Values for Sample D
The total number of words = 2956880
The total number of distinct = 57794
The popular treshold words = 2890
The common treshold 1 words = 27452
The common treshold 2 words = 30342
____________________________________________________________________________________________________________
Table for the top values
+---------------+------+----+
|           Word| Count|Rank|
|           half|  1163| 251|
|          leave|  1161| 252|
|      something|  1155| 253|
|           says|  1154| 254|
|            son|  1153| 255|
|           took|  1143| 256|
|           wife|  1142| 257|
|            sea|  1142| 258|
|           soul|  1139| 259|
|         indeed|  1125| 260|
|         almost|  1123| 261|
|          round|  1122| 262|
|          light|  1122| 263|
|      gladstone|  1117| 264|
|            boy|  1115| 265|
|          among|  1115| 266|
|          whole|  1114| 267|
|          whale|  1111| 268|
|           dead|  1102| 269|
|          sweet|  1099| 270|
|           less|  1096| 271|
|           doth|  1093| 272|
|            got|  1090| 273|
|         exeunt|  1089| 274|
|            eye|  1082| 275|
|         seemed|  1081| 276|
|          since|  1080| 277|
|           does|  1075| 278|
|           high|  1074| 279|
|            use|  1066| 280|
|           call|  1064| 281|
|         looked|  1057| 282|
|         course|  1056| 283|
|         friend|  1053| 284|
|           fear|  1051| 285|
|            few|  1046| 286|
|           keep|  1043| 287|
|        whether|  1033| 288|
|          blood|  1021| 289|
|           days|  1020| 290|
|           gone|  1013| 291|
|           body|  1011| 292|
|           exit|  1011| 293|
|         having|  1008| 294|
|         matter|  1004| 295|
|          truth|   999| 296|
|         public|   999| 297|
|         answer|   995| 298|
|           soon|   992| 299|
|        general|   984| 300|
|         either|   980| 301|
|       question|   974| 302|
|           knew|   973| 303|
|           hold|   972| 304|
|           live|   971| 305|
|        friends|   970| 306|
|           kind|   969| 307|
|          white|   964| 308|
|           rest|   962| 309|
|       together|   953| 310|
|          stand|   951| 311|
|           case|   951| 312|
|          comes|   949| 313|
|         reason|   949| 314|
|          bloom|   948| 315|
|        brother|   946| 316|
|         heaven|   944| 317|
|         prince|   938| 318|
|           hope|   937| 319|
|           sure|   934| 320|
|           gave|   924| 321|
|         honour|   921| 322|
|          going|   920| 323|
|          quite|   914| 324|
|           room|   912| 325|
|          noble|   909| 326|
|        present|   905| 327|
|         others|   904| 328|
|          women|   902| 329|
|        country|   902| 330|
|             tm|   896| 331|
|      gentleman|   896| 332|
|          henry|   894| 333|
|           door|   892| 334|
|        brought|   891| 335|
|           near|   890| 336|
|        perhaps|   886| 337|
|          asked|   886| 338|
|         mother|   882| 339|
|            mrs|   881| 340|
|          peace|   879| 341|
|         called|   877| 342|
|        certain|   876| 343|
|          voice|   874| 344|
|           pray|   874| 345|
|          times|   872| 346|
|            war|   870| 347|
|           show|   869| 348|
|          often|   855| 349|
|           none|   855| 350|
|           dear|   855| 351|
|            law|   850| 352|
|            lay|   847| 353|
|           bear|   845| 354|
|           mean|   845| 355|
|          water|   844| 356|
|           else|   842| 357|
|          money|   830| 358|
|           four|   820| 359|
|       daughter|   816| 360|
|             ay|   814| 361|
|           miss|   814| 362|
|           help|   811| 363|
|          alone|   810| 364|
|             ye|   809| 365|
|     themselves|   808| 366|
|          given|   808| 367|
|           next|   805| 368|
|          forth|   805| 369|
|         moment|   800| 370|
|           read|   792| 371|
|         itself|   792| 372|
|          means|   789| 373|
|            act|   786| 374|
|          point|   786| 375|
|        believe|   785| 376|
|           fire|   785| 377|
|          small|   783| 378|
|          bring|   781| 379|
|        however|   781| 380|
|         france|   780| 381|
|       business|   778| 382|
|            bed|   774| 383|
|        england|   773| 384|
|          child|   769| 385|
|       anything|   767| 386|
|        justice|   764| 387|
|           hour|   761| 388|
|         spirit|   757| 389|
|            air|   757| 390|
|           want|   756| 391|
|         church|   755| 392|
|          began|   754| 393|
|          black|   753| 394|
|          grace|   750| 395|
|          known|   748| 396|
|        morning|   748| 397|
|          stood|   746| 398|
|         turned|   741| 399|
|           turn|   738| 400|
|          least|   737| 401|
|         strong|   735| 402|
|        captain|   734| 403|
|           sort|   732| 404|
|         fellow|   731| 405|
|           form|   726| 406|
|        strange|   722| 407|
|           free|   720| 408|
|        english|   718| 409|
|         letter|   713| 410|
|            die|   712| 411|
|           hard|   709| 412|
|           lost|   709| 413|
|          ought|   707| 414|
|          until|   707| 415|
|         common|   704| 416|
|           york|   704| 417|
|          taken|   702| 418|
|           open|   698| 419|
|     gloucester|   696| 420|
|         number|   693| 421|
|          sense|   691| 422|
|        looking|   689| 423|
|        towards|   686| 424|
|          makes|   686| 425|
|        subject|   686| 426|
|            nay|   686| 427|
|          order|   684| 428|
|           year|   680| 429|
|         behind|   679| 430|
|           hast|   678| 431|
|          works|   676| 432|
|         please|   675| 433|
|          cause|   673| 434|
|           arms|   672| 435|
|          along|   669| 436|
|            age|   669| 437|
|       remember|   663| 438|
|           dark|   663| 439|
|           wish|   661| 440|
|         become|   660| 441|
|        already|   659| 442|
|          court|   659| 443|
|       thousand|   657| 444|
|          large|   657| 445|
|           book|   651| 446|
|           ship|   651| 447|
|        neither|   651| 448|
|           five|   648| 449|
|           care|   646| 450|
|      different|   646| 451|
|           play|   646| 452|
|            sun|   645| 453|
|          sight|   645| 454|
|         manner|   641| 455|
|          aside|   639| 456|
|          cried|   635| 457|
|          seems|   635| 458|
|           city|   631| 459|
|           sent|   631| 460|
|        husband|   630| 461|
|        further|   628| 462|
|          earth|   627| 463|
|           stay|   623| 464|
|           fall|   615| 465|
|            ask|   611| 466|
|            ill|   611| 467|
|      knowledge|   608| 468|
|           feel|   607| 469|
|          above|   607| 470|
|         street|   606| 471|
|           land|   606| 472|
|           felt|   605| 473|
|        herself|   604| 474|
|          terms|   603| 475|
|         person|   603| 476|
|        servant|   603| 477|
|       children|   602| 478|
|           meet|   600| 479|
|           view|   599| 480|
|       pleasure|   597| 481|
|           seem|   597| 482|
