Values for Sample G 
The total number of words = 2104828
The total number of distinct = 36986
The popular treshold words = 1850
The common treshold 1 words = 17568
The common treshold 2 words = 19418
____________________________________________________________________________________________________________
Table for the top values
+--------------+-----+----+
|          Word|Count|Rank|
|          best|  916| 254|
|          went|  915| 255|
|          call|  912| 256|
|          hope|  906| 257|
|      daughter|  906| 258|
|         hands|  900| 259|
|        always|  898| 260|
|        rather|  897| 261|
|          sure|  892| 262|
|        second|  891| 263|
|       project|  890| 264|
|         blood|  889| 265|
|         comes|  886| 266|
|       between|  885| 267|
|          room|  879| 268|
|       brother|  876| 269|
|       because|  866| 270|
|          pray|  864| 271|
|          gave|  861| 272|
|        honour|  854| 273|
|        within|  848| 274|
|        answer|  843| 275|
|          john|  842| 276|
|          else|  841| 277|
|           far|  828| 278|
|       friends|  828| 279|
|          dead|  820| 280|
|          bear|  820| 281|
|        mother|  812| 282|
|          just|  812| 283|
|       replied|  812| 284|
|          hold|  811| 285|
|      together|  801| 286|
|        knight|  800| 287|
|            ay|  798| 288|
|          half|  793| 289|
|         bring|  792| 290|
|       present|  792| 291|
|         quite|  789| 292|
|          live|  787| 293|
|          emma|  778| 294|
|          hast|  770| 295|
|       however|  768| 296|
|         stand|  767| 297|
|          show|  757| 298|
|          kind|  755| 299|
|         earth|  752| 300|
|          knew|  748| 301|
|           boy|  747| 302|
|         truth|  745| 303|
|          body|  744| 304|
|     something|  743| 305|
|          none|  740| 306|
|       brought|  739| 307|
|         noble|  739| 308|
|        people|  736| 309|
|        matter|  734| 310|
|          rest|  731| 311|
|       believe|  730| 312|
|           use|  729| 313|
|          fire|  723| 314|
|           got|  718| 315|
|          wish|  716| 316|
|        reason|  716| 317|
|          side|  713| 318|
|        looked|  709| 319|
|          help|  709| 320|
|           nay|  705| 321|
|        called|  700| 322|
|          each|  698| 323|
|    gloucester|  694| 324|
|         given|  689| 325|
|         peace|  689| 326|
|          days|  686| 327|
|          door|  685| 328|
|         means|  685| 329|
|           eye|  684| 330|
|           joe|  682| 331|
|           ill|  681| 332|
|         asked|  680| 333|
|         doubt|  674| 334|
|         whole|  674| 335|
|          mean|  671| 336|
|        sister|  663| 337|
|         grace|  661| 338|
|         light|  657| 339|
|          soul|  653| 340|
|        elinor|  651| 341|
|           new|  647| 342|
|        seemed|  646| 343|
|         forth|  646| 344|
|           die|  645| 345|
|          less|  645| 346|
|       servant|  641| 347|
|       husband|  640| 348|
|         alone|  639| 349|
|        others|  638| 350|
|         state|  634| 351|
|           bed|  634| 352|
|          stay|  634| 353|
|          read|  633| 354|
|        coming|  631| 355|
|        letter|  631| 356|
|           lay|  629| 357|
|          page|  626| 358|
|       fortune|  626| 359|
|       whether|  622| 360|
|        please|  621| 361|
|         henry|  615| 362|
|        nature|  614| 363|
|          want|  612| 364|
|      pleasure|  610| 365|
|          hour|  603| 366|
|         power|  602| 367|
|          felt|  600| 368|
|      thousand|  599| 369|
|        return|  599| 370|
|         voice|  597| 371|
|          near|  593| 372|
|      falstaff|  593| 373|
|          arms|  589| 374|
|         cause|  589| 375|
|         happy|  589| 376|
|      yourself|  586| 377|
|        person|  585| 378|
|         thine|  585| 379|
|          says|  583| 380|
|          turn|  581| 381|
|       worship|  579| 382|
|        tongue|  578| 383|
